**********************************	
*** EXPERIMENTAL FEEDBACK DATA ***	
*** PIN ON DISC TEST #7: ellipse 2 ***	
**********************************	
	
X	Y
1.56	9.88
1.50	9.87
1.43	9.82
1.35	9.73
1.27	9.61
1.18	9.44
1.09	9.24
0.99	9.00
0.90	8.73
0.79	8.42
0.69	8.08
0.58	7.71
0.46	7.31
0.35	6.88
0.24	6.42
0.12	5.93
0.00	5.42
-0.11	4.90
-0.23	4.35
-0.34	3.78
-0.46	3.20
-0.57	2.61
-0.68	2.00
-0.78	1.39
-0.89	0.78
-0.99	0.16
-1.08	-0.46
-1.18	-1.08
-1.26	-1.70
-1.35	-2.30
-1.42	-2.90
-1.49	-3.49
-1.56	-4.06
-1.62	-4.62
-1.67	-5.16
-1.72	-5.68
-1.76	-6.18
-1.79	-6.65
-1.82	-7.09
-1.83	-7.51
-1.85	-7.90
-1.85	-8.26
-1.85	-8.58
-1.84	-8.87
-1.82	-9.13
-1.79	-9.35
-1.76	-9.53
-1.72	-9.67
-1.68	-9.78
-1.62	-9.85
-1.56	-9.88
-1.50	-9.87
-1.43	-9.82
-1.35	-9.73
-1.27	-9.61
-1.18	-9.44
-1.09	-9.24
-0.99	-9.00
-0.90	-8.73
-0.79	-8.42
-0.69	-8.08
-0.58	-7.71
-0.46	-7.31
-0.35	-6.88
-0.24	-6.42
-0.12	-5.93
0.00	-5.42
0.11	-4.90
0.23	-4.35
0.34	-3.78
0.46	-3.20
0.57	-2.61
0.68	-2.00
0.78	-1.39
0.89	-0.78
0.99	-0.16
1.08	0.46
1.18	1.08
1.26	1.70
1.35	2.30
1.42	2.90
1.49	3.49
1.56	4.06
1.62	4.62
1.67	5.16
1.72	5.68
1.76	6.18
1.79	6.65
1.82	7.09
1.83	7.51
1.85	7.90
1.85	8.26
1.85	8.58
1.84	8.87
1.82	9.13
1.79	9.35
1.76	9.53
1.72	9.67
1.68	9.78
1.62	9.85
1.56	9.88
